filename,category,fold,declared_normal_proxy,anomaly,anomalous_window_fraction,synthetic_model_anomaly,first_anomaly
5-181766-A-10.wav,rain,5,True,False,0.0,True,
5-188655-A-10.wav,rain,5,True,False,0.0,True,
5-193339-A-10.wav,rain,5,True,False,0.0,True,
5-209992-A-44.wav,engine,5,True,False,0.0,True,
5-209992-B-44.wav,engine,5,True,False,0.0,True,
5-232272-A-44.wav,engine,5,True,False,0.0,True,
5-234263-A-25.wav,footsteps,5,False,False,0.0,True,
5-234855-A-25.wav,footsteps,5,False,False,0.0,True,
5-243025-A-25.wav,footsteps,5,False,False,0.0,True,
5-221528-A-39.wav,glass_breaking,5,False,True,0.07792207792207792,True,0.512
5-221529-A-39.wav,glass_breaking,5,False,True,0.025974025974025976,True,0.512
5-233605-A-39.wav,glass_breaking,5,False,True,0.06493506493506493,True,0.896
5-218980-A-30.wav,door_wood_knock,5,False,True,0.09090909090909091,True,0.256
5-218981-A-30.wav,door_wood_knock,5,False,False,0.0,True,
5-235644-A-30.wav,door_wood_knock,5,False,False,0.0,True,
5-161270-A-33.wav,door_wood_creaks,5,False,False,0.0,True,
5-161270-B-33.wav,door_wood_creaks,5,False,False,0.0,True,
5-173568-A-33.wav,door_wood_creaks,5,False,False,0.0,True,
5-156999-A-19.wav,thunderstorm,5,False,False,0.0,True,
5-156999-B-19.wav,thunderstorm,5,False,False,0.0,True,
5-156999-C-19.wav,thunderstorm,5,False,False,0.0,True,
5-117773-A-16.wav,wind,5,False,False,0.0,True,
5-157204-A-16.wav,wind,5,False,False,0.0,True,
5-157204-B-16.wav,wind,5,False,False,0.0,True,
5-201194-A-38.wav,clock_tick,5,False,True,0.1038961038961039,True,0.448
5-208624-A-38.wav,clock_tick,5,False,True,0.03896103896103896,True,0.256
5-209698-A-38.wav,clock_tick,5,False,True,0.2597402597402597,True,0.768
5-178997-A-24.wav,coughing,5,False,True,0.05194805194805195,True,1.344
5-184871-A-24.wav,coughing,5,False,True,0.05194805194805195,True,1.088
5-204604-A-24.wav,coughing,5,False,True,0.05194805194805195,True,1.28
